LSOA Code,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,Total_crime
E01002991,0.12261146496815287,0.18630573248407642,0.050955414012738856,0.011146496815286623,0.0,0.052547770700636945,0.01751592356687898,0.1767515923566879,0.1942675159235669,0.18789808917197454,628
E01002992,0.11185308848080133,0.12186978297161936,0.10517529215358931,0.01335559265442404,0.005008347245409015,0.035058430717863104,0.01335559265442404,0.18864774624373956,0.11686143572621036,0.2888146911519199,599
E01002993,0.11776061776061776,0.222007722007722,0.06177606177606178,0.009652509652509652,0.0019305019305019305,0.032818532818532815,0.021235521235521235,0.14285714285714285,0.12934362934362933,0.2606177606177606,518
E01002994,0.08695652173913043,0.18077803203661327,0.05263157894736842,0.018306636155606407,0.009153318077803204,0.036613272311212815,0.016018306636155607,0.15789473684210525,0.15102974828375287,0.2906178489702517,437
E01002995,0.0944558521560575,0.17453798767967146,0.0513347022587269,0.012320328542094456,0.004106776180698152,0.03696098562628337,0.01026694045174538,0.162217659137577,0.17659137577002054,0.27720739219712526,487
E01002996,0.10606060606060606,0.128099173553719,0.0440771349862259,0.013774104683195593,0.005509641873278237,0.04269972451790634,0.009641873278236915,0.162534435261708,0.21212121212121213,0.27548209366391185,726
E01002997,0.10946196660482375,0.16883116883116883,0.04081632653061224,0.00927643784786642,0.0037105751391465678,0.02411873840445269,0.00927643784786642,0.19666048237476808,0.2597402597402597,0.17810760667903525,539
E01002998,0.14285714285714285,0.12016021361815754,0.06008010680907877,0.01335113484646195,0.006675567423230975,0.03871829105473965,0.006675567423230975,0.12149532710280374,0.16688918558077437,0.32309746328437916,749
E01002999,0.11393514460999124,0.13321647677475898,0.10078878177037687,0.018404907975460124,0.007011393514460999,0.07274320771253287,0.016652059596844872,0.16389132340052587,0.060473269062226116,0.3128834355828221,1141
E01003000,0.18637274549098196,0.13159652638610556,0.06078824315297261,0.015364061456245824,0.0026720106880427524,0.04876419505678023,0.015364061456245824,0.13894455577822312,0.17167668670674682,0.22845691382765532,1497
E01003001,0.14285714285714285,0.17481203007518797,0.03101503759398496,0.016917293233082706,0.0037593984962406013,0.03477443609022556,0.011278195488721804,0.10714285714285714,0.2424812030075188,0.2349624060150376,1064
E01003002,0.12279511533242876,0.07530529172320218,0.048846675712347354,0.017639077340569877,0.011533242876526458,0.051560379918588875,0.011533242876526458,0.27544097693351427,0.08412483039348712,0.3012211668928087,1474
E01003003,0.10610079575596817,0.0731337627889352,0.04395604395604396,0.010231148162182645,0.0071996968548692685,0.06972338006820765,0.01856763925729443,0.23948465327775673,0.09283819628647215,0.3387646835922698,2639
E01003004,0.1185682326621924,0.12080536912751678,0.052572706935123045,0.013422818791946308,0.008948545861297539,0.050335570469798654,0.020134228187919462,0.15883668903803133,0.1599552572706935,0.29642058165548096,894
E01003005,0.13616398243045388,0.1683748169838946,0.04978038067349927,0.017569546120058566,0.004392386530014641,0.0424597364568082,0.013177159590043924,0.16251830161054173,0.19912152269399708,0.20644216691068815,683
E01003006,0.1033434650455927,0.15045592705167174,0.03343465045592705,0.00911854103343465,0.0,0.0547112462006079,0.015197568389057751,0.23404255319148937,0.1945288753799392,0.20516717325227962,658
E01003007,0.11208406304728546,0.22066549912434325,0.017513134851138354,0.012259194395796848,0.0,0.0595446584938704,0.008756567425569177,0.13134851138353765,0.1733800350262697,0.26444833625218916,571
E01003008,0.11648351648351649,0.2549450549450549,0.02857142857142857,0.013186813186813187,0.004395604395604396,0.046153846153846156,0.004395604395604396,0.15824175824175823,0.18461538461538463,0.189010989010989,455
E01003009,0.09869375907111756,0.19158200290275762,0.03483309143686502,0.010159651669085631,0.005805515239477504,0.047895500725689405,0.010159651669085631,0.1509433962264151,0.15239477503628446,0.29753265602322204,689
E01003010,0.1067193675889328,0.14097496706192358,0.05138339920948617,0.011857707509881422,0.006587615283267457,0.04216073781291173,0.030303030303030304,0.3069828722002635,0.12911725955204217,0.17391304347826086,759
E01003011,0.07838479809976247,0.1369754552652415,0.24069675376088678,0.006334125098970704,0.006334125098970704,0.026920031670625493,0.027711797307996833,0.21931908155186064,0.1021377672209026,0.15518606492478226,1263
E01003013,0.03343279014612501,0.041771861372504014,0.04712722821513274,0.009180628873077806,0.009716165557340678,0.06143370820901232,0.04024175656032438,0.5238313824496978,0.028077423303496288,0.20518705531328896,13071
E01003014,0.09247397918334668,0.09927942353883107,0.09727782225780625,0.01200960768614892,0.01120896717373899,0.0588470776621297,0.044435548438751,0.27502001601281023,0.07045636509207366,0.2389911929543635,2498
E01003015,0.08630952380952381,0.1488095238095238,0.09300595238095238,0.009672619047619048,0.009672619047619048,0.03943452380952381,0.04538690476190476,0.20982142857142858,0.09077380952380952,0.26711309523809523,1344
E01003016,0.03959163346613546,0.05104581673306773,0.05702191235059761,0.005229083665338645,0.00597609561752988,0.05104581673306773,0.053784860557768925,0.5560258964143426,0.035109561752988044,0.14516932270916336,4016
E01003017,0.04604130808950086,0.05787435456110155,0.04023235800344234,0.00774526678141136,0.008820998278829604,0.04647160068846816,0.04195352839931153,0.4926850258175559,0.05636833046471601,0.20180722891566266,4648
E01003018,0.0636766334440753,0.09994462901439645,0.07032115171650055,0.010243632336655593,0.015503875968992248,0.06312292358803986,0.05426356589147287,0.29651162790697677,0.09191583610188261,0.23449612403100775,3612
E01003019,0.07785753727222529,0.16399779127553837,0.06957482054113749,0.00717835450027609,0.010491441192711209,0.03313086692435119,0.054113749309773605,0.2501380452788515,0.14577581446714521,0.18774157923799006,1811
E01003020,0.05273025544879306,0.07405671431919382,0.08202484180923365,0.01195219123505976,0.013123974689477385,0.05647996250292946,0.05015233184907429,0.34895711272556834,0.08366533864541832,0.22685727677525194,4267
E01003021,0.09369747899159664,0.06092436974789916,0.08403361344537816,0.10168067226890756,0.0058823529411764705,0.04873949579831933,0.03991596638655462,0.126890756302521,0.06932773109243698,0.3689075630252101,2380
E01003022,0.10231923601637108,0.17121418826739426,0.06548431105047749,0.011596180081855388,0.008185538881309686,0.034106412005457026,0.036834924965893585,0.169849931787176,0.19986357435197818,0.20054570259208732,1466
